iter	Passed	Remaining
408	4887	1087
409	4901	1075
410	4915	1064
411	4929	1052
412	4943	1041
413	4958	1029
414	4972	1018
415	4984	1006
416	4996	994
417	5008	982
418	5019	970
419	5031	958
420	5043	946
421	5054	934
422	5065	922
423	5077	910
424	5088	898
425	5100	885
426	5111	873
427	5123	861
428	5133	849
429	5145	837
430	5157	825
431	5168	813
432	5179	801
433	5191	789
434	5203	777
435	5214	765
436	5225	753
437	5237	741
438	5248	729
439	5260	717
440	5271	705
441	5283	693
442	5295	681
443	5306	669
444	5317	657
445	5328	645
446	5339	633
447	5352	621
448	5364	609
449	5375	597
450	5387	585
451	5398	573
452	5411	561
453	5426	549
454	5440	538
455	5454	526
456	5468	514
457	5480	502
458	5492	490
459	5504	478
460	5515	466
461	5526	454
462	5538	442
463	5550	430
464	5561	418
465	5573	406
466	5584	394
467	5596	382
468	5607	370
469	5618	358
470	5629	346
471	5641	334
472	5652	322
473	5664	310
474	5675	298
475	5687	286
476	5699	274
477	5710	262
478	5722	250
479	5734	238
480	5745	226
481	5757	215
482	5768	203
483	5780	191
484	5792	179
485	5803	167
486	5815	155
487	5826	143
488	5838	131
489	5849	119
490	5860	107
491	5872	95
492	5883	83
493	5895	71
494	5906	59
495	5918	47
496	5929	35
497	5940	23
498	5952	11
499	5963	0
