iter	F1	Logloss
171	0.9776940361	0.09214305535
172	0.9777265385	0.09161754494
173	0.9777876629	0.09117335084
174	0.9780132295	0.0905994847
175	0.9780998823	0.09016315399
176	0.978140477	0.08986716694
177	0.9784185295	0.08950846597
178	0.9785101712	0.0891568681
179	0.9786307273	0.08862660567
180	0.9787547932	0.08817677758
181	0.9788644161	0.08777920698
182	0.9787714993	0.08743042403
183	0.9789548883	0.08706705724
184	0.9789890378	0.0868291627
185	0.9791171338	0.08629437934
186	0.9793190697	0.08569683489
187	0.9794651329	0.08525722329
188	0.9795511923	0.08483574294
189	0.9796372668	0.08434909469
190	0.9796728917	0.08403532266
191	0.9799839497	0.083462944
192	0.9800776742	0.08286841602
193	0.9800595168	0.08263955336
194	0.9801159998	0.0823774025
195	0.9801966276	0.08199056467
196	0.9804105407	0.08153531096
197	0.9805918547	0.08108042278
198	0.9807058879	0.08049930244
199	0.980703626	0.08018685708
200	0.9807916625	0.07966031183
201	0.981007093	0.07925429663
202	0.9810232329	0.07894258241
203	0.9810690227	0.07862123231
204	0.9812340613	0.07826774221
205	0.9812619458	0.07799316095
206	0.9813951579	0.0776415092
207	0.981558903	0.0773134811
208	0.9815529312	0.0770836552
209	0.9816235106	0.0766078115
210	0.9816595525	0.07604519455
211	0.9818286297	0.07575702692
212	0.9819211756	0.0753949457
213	0.9820312225	0.07508457769
214	0.9821836991	0.07455406576
215	0.9822894675	0.07420559302
216	0.9824830959	0.07371196043
217	0.9825565709	0.0734130221
218	0.9826977443	0.07308469352
219	0.9827164548	0.07262886116
220	0.9827020876	0.07241835124
221	0.982753766	0.07219030818
222	0.9829124505	0.07192228419
223	0.9830196315	0.07166143816
224	0.9830661575	0.07135943275
225	0.9831184524	0.07109995894
226	0.9831697631	0.07071611782
227	0.9832222639	0.07052823909
228	0.9832505148	0.07020012222
229	0.9834372782	0.06985256254
230	0.9835515313	0.06934490671
231	0.9835399881	0.06911885869
232	0.9835800049	0.06890132826
233	0.9837922212	0.0686769644
234	0.9838553496	0.06839503435
235	0.9839298501	0.0680401177
236	0.9840848806	0.06778004415
237	0.9840943773	0.06739964462
238	0.9841698411	0.06705383049
239	0.9843466624	0.06669220512
240	0.9844147153	0.06630036426
241	0.9844493886	0.06607905239
242	0.9845077285	0.06584003773
243	0.9845550553	0.06561197605
244	0.9846601816	0.06527904865
245	0.9847122091	0.0651131526
246	0.984817172	0.06482284404
247	0.9848345184	0.06460301892
248	0.9849091614	0.0643376593
249	0.9849612139	0.06403687722
250	0.9850420198	0.06368075023
251	0.9851174045	0.06336231137
252	0.9852474806	0.06298707671
253	0.9853593221	0.06279293549
254	0.9855155887	0.06250772908
255	0.985515929	0.06232193002
256	0.9856376698	0.06208446864
257	0.9856656092	0.06184235442
258	0.9857897303	0.06166062716
259	0.9858483084	0.06139268063
260	0.9859237674	0.06118787139
261	0.9859644794	0.06099052179
262	0.9860692484	0.06068565193
263	0.9861387768	0.06045669674
264	0.9862144343	0.06014910048
265	0.9862434111	0.05995149085
266	0.9862834979	0.05970581288
267	0.9863820433	0.05940521177
268	0.9865337479	0.05912739175
269	0.9866922164	0.05884350233
270	0.9867384608	0.05859904
271	0.9867857983	0.05837741196
272	0.9868088458	0.05819736349
273	0.9869077783	0.05802972689
274	0.9869309864	0.05787823543
275	0.9869425909	0.05767475316
276	0.9870662794	0.05743099532
277	0.9871256746	0.05720782955
278	0.9872069233	0.05695629938
279	0.987147376	0.05676249967
280	0.9872354937	0.05657372355
281	0.9873242086	0.05636833806
282	0.9873889552	0.05618997094
283	0.9874590641	0.05601735191
284	0.9875712858	0.05577097175
285	0.9876180285	0.05558337933
286	0.9876993273	0.05536466954
287	0.9877632144	0.05518988214
288	0.9878154917	0.05503159358
289	0.9878500606	0.05480069994
290	0.987885061	0.05463305406
291	0.987902633	0.05445605141
292	0.9879547834	0.05420654897
293	0.987960594	0.05402757596
294	0.9879954593	0.05381141843
295	0.9880481837	0.0535770172
296	0.9880656185	0.05341692474
297	0.9880651973	0.05320822266
298	0.9881526624	0.05300614279
299	0.9882467823	0.05281165098
300	0.9883050568	0.05244074802
301	0.9884174427	0.05226010323
302	0.9884582804	0.05206415739
303	0.9884872195	0.05186682643
304	0.9885277922	0.05174229095
305	0.9886869709	0.05155638779
306	0.9887217382	0.0514008114
307	0.9887861244	0.0511654817
308	0.9887977596	0.05103600219
309	0.9888211621	0.0508855118
310	0.9888794747	0.0506898386
311	0.9889026184	0.05056054808
312	0.9889375324	0.05042622374
313	0.9889725786	0.05021908394
314	0.9890547029	0.05004647576
315	0.989112908	0.04989862092
316	0.9890658287	0.04973126711
317	0.9890949324	0.04962633091
318	0.9891539109	0.04944041119
319	0.9893060403	0.0491909621
320	0.9892946473	0.04902770898
321	0.9893532496	0.04890989082
322	0.9894290759	0.04867965505
323	0.9894873153	0.04852125371
324	0.9895047885	0.0484050359
325	0.9896155884	0.04812871079
326	0.9896330659	0.04797732018
327	0.98969145	0.04783081917
328	0.9897205836	0.04770483003
329	0.9897323584	0.04753428411
330	0.989779217	0.04740627669
331	0.9898316661	0.04722492254
332	0.989832145	0.04708648353
333	0.9898554564	0.04697705796
334	0.9898845973	0.04684389643
335	0.9899377661	0.04666990405
336	0.9898968489	0.0465470461
337	0.9899026771	0.04647893662
338	0.9899434762	0.04634528551
339	0.9899435946	0.04621681169
340	0.9899959371	0.04608348769
341	0.9900018842	0.04597117527
342	0.990025202	0.04586892654
343	0.9900077136	0.04575613245
344	0.9900660107	0.04564082858
345	0.9901652474	0.04529762762
346	0.9901830881	0.04514595647
347	0.9902472349	0.0450491209
348	0.9903113902	0.0448989789
349	0.9903055575	0.04478406112
350	0.9903462737	0.04465038244
351	0.9903930543	0.04436782228
352	0.9904047217	0.04425245018
353	0.9904455597	0.04409097433
354	0.9904630628	0.04401642076
355	0.9904923479	0.0438892356
356	0.9905331927	0.04376348711
357	0.9905509213	0.04365676452
358	0.990562592	0.04354583809
359	0.9905859343	0.04340684575
360	0.9905799876	0.04332302338
361	0.9905798766	0.04321674529
362	0.9906267858	0.04311876779
363	0.9906616941	0.04300349236
364	0.9906912073	0.04283940846
365	0.9907607094	0.04260814673
366	0.9907958469	0.04252269016
367	0.9908250393	0.0423685943
368	0.9908427714	0.04225842974
369	0.990854449	0.04218004356
370	0.9908783425	0.04205756571
371	0.9908901276	0.04197972858
372	0.9908783425	0.04187392557
373	0.9909424667	0.04170408572
374	0.9909658257	0.04160963298
375	0.9910242281	0.04138820604
376	0.9910651139	0.04123839131
377	0.9910826374	0.04114175997
378	0.9911466868	0.04097343158
379	0.9911643178	0.04087607801
380	0.9911819489	0.04075166567
381	0.9912172119	0.04068156336
382	0.9912523726	0.04056723812
383	0.9912697992	0.04049454335
384	0.991304963	0.04040666401
385	0.9913400263	0.04028191079
386	0.9913517146	0.04022138734
387	0.991357457	0.04013000694
388	0.9913866797	0.04003422997
389	0.991422255	0.03992841114
390	0.9914631702	0.03980350403
391	0.9914806058	0.03970927597
392	0.9915215264	0.03965476719
393	0.9915624503	0.03954436647
394	0.9915743421	0.03945119468
395	0.9916035756	0.03937187705
396	0.9916211164	0.03930488326
397	0.9916385593	0.03916666195
398	0.9916443082	0.039079773
399	0.9916913842	0.03898078627
400	0.9917088302	0.03886695676
401	0.9917088302	0.03879086794
402	0.9917263748	0.0386533832
403	0.9917616602	0.03853008846
404	0.9917674117	0.0384210305
405	0.9917793032	0.03830955516
406	0.9917968497	0.03822255972
407	0.9918026986	0.03811921461
408	0.9918436433	0.0379931935
409	0.9918377938	0.03791524089
410	0.9918727957	0.03778930877
411	0.9918904413	0.03767527628
412	0.9919255428	0.03758514886
413	0.9919255428	0.03749145506
414	0.991937434	0.03734317905
415	0.9919725379	0.03722053786
416	0.9919958475	0.03708575845
417	0.992031144	0.0369649922
418	0.9920897556	0.03687827021
419	0.9920896623	0.03676176646
420	0.9921482801	0.03670788128
421	0.9921483727	0.03665787263
422	0.9922073632	0.03656345905
423	0.9921721536	0.03646435511
424	0.9922306844	0.03640449768
425	0.9922599523	0.03630476023
426	0.9922954398	0.03623541718
427	0.9923130925	0.03613480011
428	0.9923365092	0.03606490334
429	0.9923480375	0.03597437544
430	0.9923773113	0.03587521006
431	0.9923948764	0.0357822843
432	0.9924125317	0.03568530654
433	0.9924124422	0.03554921697
434	0.9924417198	0.03545909801
435	0.9924827114	0.03538696404
436	0.9925061367	0.03530715234
437	0.9925237064	0.03522071975
438	0.9925528148	0.0350349984
439	0.9926356909	0.03499109904
440	0.9926122618	0.03488082055
441	0.9926474059	0.03477530342
442	0.9926238021	0.03468605083
443	0.9926647192	0.03461458835
444	0.992705899	0.03456644819
445	0.9927291613	0.03448969075
446	0.9927233025	0.03443946889
447	0.9927644858	0.03433876985
448	0.9927996412	0.03420737849
449	0.9928055856	0.03410808899
450	0.9928348836	0.03402889096
451	0.9928641834	0.03398764576
452	0.9928876245	0.03387337178
453	0.9928817641	0.03380521004
454	0.9929229552	0.03372629731
455	0.9929405376	0.03357181015
456	0.9929698429	0.03347008245
457	0.9930345674	0.03337333527
458	0.9930521531	0.03330944751
459	0.9930873264	0.03321431654
460	0.9931166393	0.03315478174
461	0.993128365	0.03308401247
462	0.9931166393	0.0329562107
463	0.9931400909	0.0329099004
464	0.9931576803	0.03283852352
465	0.9931635436	0.03275659197
466	0.9931751898	0.03267152271
467	0.993151898	0.03256691242
468	0.9931695683	0.03249157172
469	0.9932108532	0.03239998053
470	0.9932283641	0.03235124931
471	0.9932283641	0.03226639566
472	0.993257684	0.03211863574
473	0.9932752768	0.0320468176
474	0.9933046785	0.03198482747
475	0.9932988139	0.03189503881
476	0.9932987347	0.03180869512
477	0.9933340025	0.03172034928
478	0.993375059	0.0316142844
479	0.9933985994	0.03152816869
480	0.9934338722	0.03145993937
481	0.993451548	0.03134279587
482	0.9934632032	0.03125728246
483	0.9934984027	0.03115316614
484	0.9935218703	0.03109517418
485	0.9935277374	0.03104245237
486	0.9935336046	0.03098402167
487	0.9935512827	0.03088312262
488	0.9935864122	0.03080557357
489	0.9936157521	0.03073294138
490	0.9936274133	0.03067533613
491	0.9936391502	0.03062411418
492	0.9936684937	0.0305515859
493	0.9936508874	0.03045460493
494	0.993674512	0.03039988388
495	0.9937158179	0.030302644
496	0.9937275562	0.03025285389
497	0.9937450903	0.03016272042
498	0.9937626991	0.03009397399
499	0.9937509598	0.03003335235
